Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
26.0,1,1,12.0,2,1,2,4.0,0,4.0,1,2.0,0,3,1,1.0,1,17368.0
37.0,1,1,6.0,1,1,2,3.0,3,3.0,3,5.0,0,5,1,1.0,3,22491.0
47.0,1,1,8.0,3,1,3,3.0,1,3.0,1,6.0,0,1,0,0.0,2,20070.0
42.0,1,1,19.0,3,2,3,1.0,1,5.0,1,6.0,0,4,1,0.0,2,20538.0
42.0,0,1,32.0,3,1,2,3.0,3,5.0,1,4.0,1,3,0,0.0,3,28191.0
50.0,1,1,14.0,2,2,3,5.0,3,3.0,2,2.0,0,2,1,2.0,3,29643.0
33.0,1,1,6.0,2,1,2,4.0,1,3.0,3,1.0,0,4,0,0.0,2,21949.0
36.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,1,2.0,3,28984.0
37.0,1,1,6.0,2,1,3,3.0,1,4.0,1,7.0,0,1,1,2.0,2,21447.0
36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,0.0,3,25096.0
32.0,0,1,16.0,3,2,3,5.0,0,5.0,2,2.0,1,3,0,2.0,1,20999.0
46.0,0,1,30.0,2,2,3,4.0,1,5.0,0,3.0,1,2,1,1.0,2,22311.0
35.0,1,3,21.0,3,2,2,5.0,1,3.0,1,7.0,1,1,1,1.0,2,20440.0
51.0,0,1,12.0,3,1,2,4.0,0,3.0,2,1.0,0,5,1,1.0,1,17838.0
26.0,0,1,9.0,1,2,3,3.0,0,5.0,2,1.0,0,3,0,2.0,1,18102.0
34.0,0,3,12.0,3,1,2,5.0,0,3.0,1,1.0,0,4,0,1.0,1,17351.0
54.0,1,1,31.0,3,2,3,2.0,3,3.0,1,5.0,0,3,0,2.0,3,25683.0
36.0,1,1,29.0,2,2,3,6.0,0,3.0,3,2.0,0,4,1,1.0,1,22908.0
30.0,0,1,7.0,2,2,4,6.0,0,3.0,1,3.0,0,2,1,1.0,1,21398.0
29.0,0,1,7.0,3,2,3,5.0,0,4.0,1,3.0,0,4,1,1.0,1,21274.0
30.0,1,1,35.0,2,1,4,4.0,0,3.0,1,6.0,0,5,1,1.0,1,21192.0
48.0,0,1,28.0,3,1,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32126.0
42.0,1,1,35.0,2,1,3,5.0,4,4.0,1,2.0,0,5,1,2.0,0,32126.0
48.0,1,3,11.0,2,1,3,4.0,1,3.0,3,3.0,1,3,1,2.0,2,22841.0
36.0,0,1,12.0,2,2,3,1.0,1,5.0,1,4.0,1,4,1,1.0,2,20562.0
31.0,1,1,18.0,3,1,2,3.0,1,3.0,0,1.0,1,4,0,1.0,2,20855.0
34.0,1,1,9.0,3,2,4,4.0,0,3.0,2,6.0,0,3,0,3.0,1,21174.0
26.0,1,1,31.0,2,2,2,5.0,0,3.0,2,2.0,0,2,1,1.0,1,17293.0
36.0,1,2,15.0,1,1,2,3.0,0,3.0,1,2.0,0,1,1,0.0,1,20410.0
42.0,1,1,10.0,1,2,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,32126.0
36.0,1,2,15.0,1,2,4,4.0,0,3.0,3,3.0,0,5,0,2.0,1,23001.0
35.0,1,3,21.0,1,1,3,4.0,0,3.0,1,3.0,1,5,1,2.0,1,21257.0
31.0,1,1,8.0,3,1,2,5.0,0,3.0,1,2.0,1,5,1,0.0,1,16129.0
32.0,1,1,9.0,2,2,3,4.0,0,3.0,1,2.0,1,4,1,2.0,1,21373.0
26.0,1,1,12.0,2,1,3,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17659.0
42.0,0,1,8.0,2,2,2,3.0,4,3.0,0,1.0,1,4,0,1.0,0,32126.0
52.0,1,3,28.0,3,2,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0
55.0,0,1,7.0,2,1,3,4.0,3,3.0,1,2.0,0,5,1,2.0,3,29180.0
41.0,0,3,9.0,3,2,4,4.0,1,4.0,1,7.0,0,4,1,2.0,2,23005.0
38.0,1,3,8.0,3,2,2,3.0,3,4.0,3,1.0,0,4,1,1.0,3,22351.0
28.0,1,1,6.0,2,2,2,3.0,0,3.0,1,2.0,0,1,0,0.0,1,17044.0
36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0
30.0,1,1,11.0,1,1,2,3.0,0,5.0,1,6.0,0,5,0,1.0,1,18204.0
47.0,1,1,7.0,3,2,4,4.0,3,5.0,1,2.0,0,1,0,3.0,3,28074.0
54.0,1,3,8.0,2,1,2,4.0,3,3.0,0,7.0,0,5,1,0.0,3,25686.0
60.0,1,1,10.0,2,2,4,5.0,0,3.0,1,5.0,0,3,0,1.0,1,20855.0
31.0,0,1,26.0,2,2,3,3.0,3,3.0,1,4.0,0,3,1,0.0,3,24824.0
56.0,1,3,7.0,2,2,4,4.0,3,3.0,0,5.0,0,2,0,2.0,3,28917.0
39.0,1,3,14.0,3,1,3,5.0,1,3.0,3,2.0,0,1,1,1.0,2,22706.0
35.0,0,1,16.0,2,2,4,4.0,1,5.0,1,6.0,0,3,0,2.0,2,24024.0
38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0
54.0,0,1,17.0,3,1,2,3.0,4,3.0,1,4.0,0,3,1,0.0,0,31032.0
37.0,1,2,15.0,2,2,4,5.0,0,5.0,1,2.0,0,1,0,2.0,1,21020.0
47.0,1,3,7.0,3,1,4,4.0,3,5.0,1,3.0,0,1,1,3.0,3,29131.0
42.0,1,1,8.0,3,2,2,3.0,4,5.0,1,1.0,0,3,1,0.0,0,32126.0
33.0,1,1,7.0,2,2,4,5.0,0,3.0,3,2.0,1,5,0,3.0,1,22408.0
53.0,1,1,9.0,3,2,2,3.0,4,3.0,1,4.0,1,5,1,0.0,0,32126.0
36.0,1,3,25.0,3,1,3,4.0,1,3.0,1,3.0,0,4,1,2.0,2,23279.0
44.0,1,3,32.0,3,2,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0
32.0,0,3,14.0,3,1,4,4.0,3,5.0,1,4.0,0,1,1,3.0,3,28315.0
34.0,0,3,8.0,3,1,3,3.0,0,3.0,0,7.0,0,5,1,2.0,1,17231.0
22.0,1,1,12.0,3,2,4,4.0,0,3.0,3,3.0,0,1,1,2.0,1,21795.0
40.0,1,1,13.0,3,2,3,5.0,3,5.0,1,6.0,0,4,1,1.0,3,28669.0
53.0,1,1,9.0,2,1,3,5.0,0,3.0,3,2.0,0,3,1,1.0,1,21890.0
39.0,1,3,7.0,2,0,3,5.0,1,3.0,3,6.0,0,2,1,2.0,2,27364.0
34.0,1,1,11.0,3,1,3,5.0,0,4.0,0,2.0,0,1,0,1.0,1,22516.0
57.0,1,3,35.0,3,2,2,4.0,4,3.0,1,4.0,0,3,0,0.0,0,29118.0
29.0,1,1,13.0,1,1,2,3.0,0,3.0,1,4.0,1,4,1,1.0,1,18339.0
43.0,1,1,9.0,2,2,4,5.0,1,3.0,3,5.0,0,2,0,2.0,2,25459.0
24.0,1,1,11.0,3,2,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0
41.0,0,3,31.0,2,1,4,2.0,4,4.0,2,6.0,1,3,1,3.0,0,31872.0
46.0,1,3,9.0,1,2,3,6.0,1,3.0,3,2.0,0,5,1,2.0,2,25310.0
48.0,1,3,22.0,2,1,3,3.0,1,3.0,1,1.0,0,4,1,0.0,2,21439.0
34.0,1,3,23.0,3,0,4,4.0,1,5.0,3,7.0,0,3,1,1.0,2,24002.0
34.0,0,3,17.0,3,2,3,5.0,1,3.0,3,5.0,0,3,1,2.0,2,23360.0
37.0,0,3,22.0,3,2,3,6.0,1,3.0,1,3.0,0,1,1,1.0,2,24084.0
34.0,1,1,8.0,3,2,3,1.0,0,3.0,1,1.0,1,1,0,1.0,1,17932.0
42.0,0,3,11.0,3,2,3,4.0,1,4.0,3,3.0,0,3,1,1.0,2,28033.0
51.0,1,3,15.0,3,2,3,4.0,0,4.0,1,2.0,0,1,0,2.0,1,22553.0
29.0,1,3,8.0,3,2,3,4.0,1,4.0,1,3.0,0,4,1,0.0,2,21644.0
33.0,1,1,6.0,2,1,2,4.0,1,3.0,3,1.0,0,4,1,1.0,2,21949.0
37.0,1,3,17.0,1,1,4,5.0,1,3.0,1,3.0,1,1,1,3.0,2,24351.0
47.0,0,3,33.0,2,1,3,1.0,1,3.0,3,5.0,1,4,1,2.0,2,21397.0
44.0,0,1,17.0,2,1,3,4.0,0,3.0,2,2.0,0,5,0,1.0,1,21133.0
50.0,1,1,34.0,3,2,3,2.0,0,3.0,0,2.0,1,2,1,2.0,1,18221.0
30.0,1,1,22.0,2,2,2,1.0,1,3.0,1,4.0,0,1,1,0.0,2,20294.0
42.0,1,1,29.0,2,1,2,3.0,4,3.0,2,3.0,0,3,0,0.0,0,30992.0
40.0,1,1,20.0,3,2,2,4.0,2,3.0,2,2.0,0,3,1,1.0,4,32126.0
45.0,1,3,8.0,1,2,2,5.0,1,3.0,3,1.0,0,5,1,1.0,2,21632.0
31.0,1,2,24.0,2,2,2,1.0,0,5.0,1,1.0,0,1,1,0.0,1,17956.0
32.0,0,1,7.0,2,2,3,6.0,1,5.0,1,3.0,0,1,1,2.0,2,23681.0
36.0,1,1,35.0,2,2,3,2.0,1,3.0,1,3.0,0,5,1,1.0,2,22085.0
26.0,1,1,6.0,2,1,2,4.0,0,3.0,1,2.0,1,4,0,0.0,1,17933.0
43.0,0,1,15.0,2,2,2,3.0,0,3.0,2,5.0,0,3,0,1.0,1,17438.0
49.0,1,1,11.0,2,2,3,4.0,3,3.0,3,3.0,0,5,1,2.0,3,26576.0
35.0,1,3,15.0,1,2,4,2.0,1,3.0,1,3.0,0,1,0,3.0,2,25477.0
35.0,0,3,13.0,3,1,3,6.0,0,3.0,1,2.0,0,4,1,2.0,1,21029.0
32.0,1,3,13.0,3,2,3,3.0,1,3.0,0,5.0,0,5,1,1.0,2,24204.0
50.0,1,1,32.0,2,1,3,4.0,0,5.0,1,3.0,0,3,0,1.0,1,21889.0
33.0,0,3,6.0,2,1,2,2.0,1,5.0,0,3.0,0,3,1,0.0,2,20376.0
50.0,1,3,5.0,3,2,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,32126.0
55.0,1,1,6.0,3,2,2,1.0,4,3.0,1,3.0,0,5,1,0.0,0,29732.0
32.0,0,1,9.0,2,2,4,4.0,0,3.0,0,7.0,1,3,1,2.0,1,22400.0
35.0,0,3,6.0,3,0,3,3.0,3,3.0,3,2.0,0,5,1,0.0,3,23789.0
29.0,1,3,9.0,3,1,3,3.0,1,3.0,1,2.0,0,1,0,0.0,2,20561.0
38.0,1,1,26.0,2,2,4,4.0,0,4.0,0,6.0,0,4,1,2.0,1,21700.0
40.0,1,3,6.0,3,2,2,5.0,1,3.0,0,3.0,1,3,1,0.0,2,22457.0
25.0,1,3,34.0,2,2,2,4.0,1,3.0,1,3.0,0,4,1,1.0,2,23639.0
21.0,1,1,24.0,2,1,3,3.0,0,3.0,2,2.0,0,3,1,1.0,1,17693.0
31.0,1,3,9.0,1,2,4,4.0,0,4.0,1,3.0,0,3,1,1.0,1,21154.0
31.0,1,2,16.0,2,2,3,4.0,1,3.0,1,2.0,1,3,1,2.0,2,25025.0
59.0,1,1,9.0,2,2,3,4.0,0,3.0,0,4.0,0,3,0,1.0,1,17177.0
38.0,1,1,9.0,0,2,4,5.0,0,3.0,2,7.0,1,3,0,1.0,1,20768.0
23.0,1,1,7.0,2,2,4,4.0,0,3.0,3,2.0,0,3,0,3.0,1,22053.0
49.0,1,3,14.0,1,2,2,4.0,4,4.0,0,7.0,0,4,1,0.0,0,28120.0
33.0,1,1,32.0,2,2,3,4.0,0,3.0,3,3.0,1,5,1,1.0,1,21473.0
41.0,1,1,15.0,2,1,4,4.0,1,5.0,1,4.0,1,1,0,1.0,2,25194.0
24.0,1,3,6.0,1,1,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0
59.0,1,3,17.0,3,2,3,4.0,4,3.0,2,2.0,0,3,1,2.0,0,32126.0
36.0,1,1,29.0,2,1,4,3.0,3,4.0,1,2.0,0,5,1,2.0,3,30674.0
31.0,0,1,21.0,3,2,3,3.0,0,3.0,0,2.0,0,4,1,2.0,1,17610.0
28.0,1,3,11.0,3,2,2,3.0,1,5.0,3,1.0,0,1,1,0.0,2,23463.0
56.0,1,3,17.0,3,1,2,4.0,1,5.0,1,5.0,0,5,0,1.0,2,20380.0
35.0,1,3,17.0,2,1,3,4.0,0,3.0,1,3.0,1,1,0,2.0,1,20898.0
28.0,1,1,14.0,2,1,3,3.0,0,3.0,2,2.0,0,4,1,1.0,1,18310.0
53.0,1,1,13.0,3,1,2,3.0,2,3.0,1,4.0,0,1,1,1.0,4,32126.0
22.0,1,1,8.0,1,2,3,3.0,0,3.0,0,1.0,0,5,1,2.0,1,17523.0
34.0,1,1,15.0,3,0,2,4.0,3,4.0,3,2.0,0,2,1,1.0,3,23621.0
42.0,0,3,18.0,2,2,2,3.0,4,5.0,2,1.0,1,5,1,1.0,0,28758.0
44.0,1,1,9.0,3,1,4,3.0,0,3.0,1,3.0,0,2,0,2.0,1,21323.0
30.0,1,3,11.0,2,1,2,3.0,3,3.0,1,3.0,0,4,1,1.0,3,24419.0
37.0,0,3,15.0,2,2,4,5.0,3,5.0,3,3.0,0,2,0,3.0,3,26265.0
44.0,1,3,16.0,3,0,3,6.0,1,3.0,3,2.0,0,1,0,1.0,2,24024.0
41.0,1,3,12.0,2,0,3,3.0,3,3.0,2,4.0,1,2,0,1.0,3,28591.0
38.0,0,1,7.0,3,1,2,4.0,3,3.0,1,4.0,1,3,0,1.0,3,32126.0
31.0,1,3,11.0,1,2,2,3.0,1,3.0,1,2.0,0,5,0,1.0,2,23346.0
34.0,1,1,15.0,2,2,4,4.0,1,3.0,3,4.0,1,3,0,3.0,2,25066.0
36.0,1,1,30.0,2,2,3,5.0,1,3.0,0,5.0,1,4,1,2.0,2,24594.0
28.0,1,1,9.0,3,1,3,3.0,3,4.0,1,1.0,0,4,0,0.0,3,22655.0
38.0,1,1,29.0,2,2,2,3.0,1,3.0,1,1.0,0,3,0,1.0,2,20745.0
29.0,1,3,10.0,3,1,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,21534.0
33.0,0,1,9.0,2,0,3,4.0,1,3.0,3,6.0,1,5,1,2.0,2,23676.0
46.0,1,3,9.0,2,2,4,4.0,1,4.0,1,2.0,0,5,1,3.0,2,23483.0
36.0,0,3,25.0,3,1,4,4.0,1,3.0,0,2.0,1,5,1,3.0,2,23292.0
27.0,0,1,18.0,3,2,3,4.0,1,5.0,1,3.0,1,3,1,1.0,2,23419.0
52.0,0,1,15.0,2,2,3,6.0,3,3.0,2,4.0,0,2,0,2.0,3,29328.0
31.0,1,1,17.0,3,0,4,4.0,3,3.0,3,2.0,0,4,0,1.0,3,28345.0
