Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
27.0,1,1,23.0,3,2,3,4.0,0,4.0,1,4.0,1,2,1,2.0,1,21051.0
40.0,1,1,8.0,3,1,2,4.0,0,3.0,2,1.0,1,3,0,0.0,1,17342.0
40.0,0,3,30.0,2,0,3,1.0,4,4.0,3,5.0,1,3,1,2.0,0,28194.0
30.0,1,1,30.0,2,2,3,3.0,0,3.0,1,2.0,0,2,0,1.0,1,17693.0
54.0,1,1,13.0,2,2,3,4.0,1,3.0,2,4.0,0,5,1,1.0,2,21128.0
50.0,1,3,34.0,3,2,2,4.0,3,5.0,1,5.0,1,5,0,0.0,3,25854.0
29.0,1,3,16.0,3,1,2,4.0,1,4.0,1,2.0,1,5,0,1.0,2,23268.0
29.0,0,1,9.0,3,2,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0
30.0,0,1,15.0,3,2,3,3.0,1,5.0,1,2.0,0,2,0,1.0,2,18072.0
46.0,1,1,17.0,2,2,4,4.0,0,3.0,1,5.0,0,5,0,3.0,1,21332.0
33.0,1,1,13.0,3,2,2,3.0,3,3.0,0,1.0,0,4,0,0.0,3,26691.0
34.0,1,1,25.0,3,2,3,3.0,0,3.0,1,1.0,0,3,0,0.0,1,17661.0
23.0,1,1,26.0,3,2,4,4.0,0,3.0,1,3.0,0,1,1,1.0,1,21001.0
39.0,1,1,9.0,3,2,4,4.0,0,3.0,1,7.0,1,4,0,3.0,1,21735.0
45.0,0,1,13.0,2,2,3,2.0,1,3.0,0,5.0,0,2,0,2.0,2,21434.0
26.0,1,1,14.0,3,2,4,5.0,0,3.0,1,3.0,0,1,0,3.0,1,21567.0
35.0,1,2,10.0,2,2,3,4.0,0,3.0,0,2.0,0,2,1,2.0,1,22415.0
59.0,0,1,20.0,2,0,2,3.0,3,3.0,3,1.0,1,5,1,0.0,3,25512.0
39.0,1,3,9.0,3,1,4,6.0,1,3.0,1,4.0,1,3,0,1.0,2,24083.0
26.0,0,1,8.0,2,2,2,3.0,0,5.0,0,7.0,1,5,1,0.0,1,17042.0
31.0,1,1,15.0,2,1,4,2.0,3,5.0,0,2.0,1,2,0,3.0,3,30094.0
27.0,1,1,22.0,1,1,2,3.0,0,4.0,0,1.0,0,2,1,0.0,1,17811.0
51.0,1,3,30.0,3,1,2,4.0,1,4.0,2,1.0,1,5,1,1.0,2,17838.0
30.0,1,3,33.0,3,2,3,3.0,1,3.0,1,1.0,0,3,1,2.0,2,20304.0
35.0,1,2,16.0,1,1,3,4.0,0,3.0,0,3.0,0,1,1,1.0,1,21420.0
36.0,1,3,9.0,2,2,2,4.0,3,3.0,0,2.0,1,2,1,0.0,3,25325.0
38.0,1,1,21.0,2,1,4,4.0,0,5.0,1,3.0,0,4,1,1.0,1,21712.0
38.0,0,1,15.0,2,2,3,3.0,1,5.0,1,5.0,0,3,0,2.0,2,21893.0
44.0,0,1,16.0,2,2,3,4.0,0,3.0,2,6.0,0,3,0,2.0,1,21116.0
35.0,0,1,31.0,2,1,3,3.0,0,4.0,1,2.0,1,3,0,0.0,1,17022.0
41.0,1,1,13.0,2,1,4,4.0,4,3.0,2,2.0,0,5,1,3.0,0,31915.0
31.0,1,1,32.0,2,2,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,17911.0
53.0,1,3,8.0,2,1,3,4.0,4,3.0,0,3.0,0,3,1,0.0,0,30427.0
36.0,0,3,16.0,3,2,2,3.0,3,3.0,3,2.0,0,1,1,1.0,3,24980.0
27.0,1,1,13.0,2,1,3,5.0,0,4.0,0,3.0,0,3,1,1.0,1,21046.0
36.0,1,1,23.0,2,1,3,5.0,1,4.0,1,2.0,1,1,1,2.0,2,23466.0
29.0,1,1,9.0,2,2,4,5.0,0,4.0,0,2.0,0,2,0,3.0,1,21879.0
55.0,0,1,14.0,3,2,2,4.0,4,4.0,1,2.0,1,3,1,1.0,0,28577.0
40.0,1,3,16.0,1,1,2,4.0,1,4.0,1,1.0,0,5,1,0.0,2,21852.0
21.0,1,1,10.0,2,2,3,5.0,0,3.0,3,3.0,0,3,0,2.0,1,21711.0
23.0,1,1,18.0,2,2,3,3.0,0,3.0,2,2.0,0,5,1,0.0,1,17647.0
35.0,1,1,12.0,2,2,2,5.0,1,3.0,3,2.0,0,5,0,1.0,2,21646.0
55.0,1,3,32.0,3,2,2,4.0,2,3.0,1,2.0,0,3,1,1.0,4,32126.0
51.0,1,1,31.0,2,2,4,4.0,4,3.0,0,5.0,1,4,0,1.0,0,32126.0
22.0,1,1,14.0,2,2,3,5.0,0,5.0,0,2.0,0,2,1,0.0,1,17451.0
42.0,1,1,8.0,2,2,2,3.0,2,3.0,1,6.0,0,3,1,1.0,4,32126.0
33.0,1,1,7.0,3,2,3,4.0,1,3.0,1,3.0,1,4,1,2.0,2,24840.0
36.0,0,1,32.0,2,1,4,4.0,0,4.0,1,3.0,1,3,0,1.0,1,20700.0
32.0,1,3,9.0,2,2,4,4.0,1,3.0,3,6.0,1,5,1,2.0,2,25260.0
41.0,1,3,17.0,3,2,4,5.0,3,4.0,1,4.0,0,4,0,1.0,3,28383.0
28.0,1,1,7.0,3,2,3,4.0,0,4.0,1,3.0,0,3,0,1.0,1,22494.0
22.0,1,1,25.0,2,1,4,4.0,0,3.0,3,3.0,0,3,1,2.0,1,21371.0
45.0,0,1,31.0,2,2,3,4.0,0,3.0,1,5.0,1,5,0,2.0,1,21839.0
21.0,1,1,6.0,1,1,3,4.0,0,4.0,2,2.0,1,5,1,1.0,1,17070.0
20.0,0,3,15.0,3,1,2,3.0,0,3.0,2,2.0,1,4,1,0.0,1,17323.0
26.0,0,1,9.0,2,2,4,2.0,1,3.0,1,3.0,0,1,0,2.0,2,23884.0
27.0,1,3,36.0,3,2,3,4.0,1,3.0,1,7.0,0,5,0,1.0,2,22984.0
27.0,0,1,8.0,3,2,2,3.0,0,3.0,2,3.0,0,3,0,1.0,1,17580.0
38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0
36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0
60.0,1,3,13.0,3,2,2,1.0,1,3.0,1,1.0,1,5,0,0.0,2,20220.0
38.0,0,1,18.0,2,2,1,4.0,1,5.0,1,3.0,0,5,1,0.0,2,21288.0
34.0,1,1,33.0,3,1,3,3.0,0,4.0,2,3.0,0,3,1,0.0,1,17311.0
40.0,1,3,8.0,3,1,2,3.0,1,4.0,1,1.0,0,1,0,0.0,2,20715.0
34.0,1,3,8.0,2,2,2,3.0,1,3.0,2,2.0,0,5,0,1.0,2,21274.0
21.0,0,1,13.0,2,1,4,5.0,0,3.0,3,3.0,1,1,0,1.0,1,21604.0
54.0,1,1,9.0,2,2,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32126.0
36.0,0,1,18.0,3,2,4,5.0,3,5.0,0,4.0,1,5,1,2.0,3,28562.0
41.0,1,1,9.0,3,1,3,5.0,0,3.0,2,2.0,1,3,0,1.0,1,21020.0
34.0,1,1,12.0,3,2,2,3.0,0,5.0,2,3.0,0,4,0,0.0,1,17960.0
34.0,1,1,25.0,2,1,2,4.0,0,3.0,1,2.0,0,4,1,1.0,1,17929.0
36.0,0,3,17.0,1,1,3,3.0,3,3.0,0,1.0,0,5,0,0.0,3,24738.0
55.0,0,1,8.0,2,1,3,4.0,3,3.0,1,2.0,0,5,0,2.0,3,29180.0
40.0,1,1,14.0,2,1,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0
57.0,1,1,30.0,2,2,2,1.0,3,3.0,1,4.0,1,4,1,0.0,3,24439.0
46.0,1,1,13.0,3,2,3,3.0,3,3.0,1,7.0,0,1,1,1.0,3,25845.0
43.0,0,1,8.0,2,1,4,2.0,3,4.0,2,3.0,0,3,1,1.0,3,21050.0
40.0,1,1,25.0,3,2,1,3.0,1,3.0,1,1.0,1,1,1,0.0,2,17741.0
44.0,0,1,23.0,2,2,3,5.0,0,3.0,2,3.0,0,4,1,1.0,1,17290.0
45.0,1,1,13.0,2,2,2,3.0,3,5.0,1,3.0,0,3,0,0.0,3,24724.0
55.0,1,2,26.0,3,2,3,4.0,3,4.0,0,4.0,0,3,1,1.0,3,29403.0
42.0,1,1,12.0,3,2,2,3.0,3,5.0,1,1.0,0,3,1,0.0,3,28348.0
44.0,0,1,9.0,2,2,4,4.0,0,3.0,1,7.0,1,3,0,1.0,1,28909.0
31.0,0,1,11.0,1,2,3,4.0,0,3.0,2,7.0,1,4,1,2.0,1,20963.0
29.0,1,1,14.0,2,2,3,5.0,0,5.0,1,2.0,1,3,0,1.0,1,17119.0
43.0,1,1,21.0,2,2,3,4.0,4,3.0,1,2.0,0,3,1,1.0,0,32126.0
28.0,0,3,7.0,3,2,4,4.0,1,4.0,0,2.0,1,2,0,3.0,2,25027.0
35.0,1,1,31.0,1,2,3,4.0,3,4.0,0,4.0,0,3,1,1.0,3,25903.0
59.0,1,3,17.0,3,2,3,4.0,4,3.0,2,2.0,0,3,0,2.0,0,32126.0
48.0,1,3,9.0,2,1,4,5.0,0,3.0,3,3.0,1,1,0,1.0,1,21972.0
26.0,1,1,10.0,2,2,2,3.0,0,3.0,2,2.0,1,1,0,0.0,1,17875.0
23.0,1,3,8.0,1,2,3,3.0,0,5.0,1,4.0,0,3,1,2.0,1,17322.0
46.0,0,3,32.0,2,2,3,4.0,1,4.0,3,1.0,0,4,1,2.0,2,22991.0
38.0,1,3,8.0,2,1,2,3.0,1,5.0,1,4.0,0,4,0,1.0,2,21893.0
27.0,1,1,10.0,2,2,2,1.0,1,4.0,1,2.0,1,4,1,0.0,2,21142.0
34.0,1,1,14.0,3,2,3,4.0,3,3.0,0,2.0,0,4,0,1.0,3,30369.0
58.0,1,1,31.0,2,2,3,3.0,3,3.0,1,5.0,1,4,1,2.0,3,28117.0
41.0,1,3,29.0,3,2,4,5.0,1,3.0,0,4.0,1,3,1,2.0,2,25058.0
32.0,0,1,6.0,2,1,3,4.0,0,4.0,0,7.0,0,3,1,0.0,1,17332.0
34.0,0,1,9.0,2,2,2,3.0,1,3.0,3,1.0,0,1,1,0.0,2,22756.0
55.0,1,1,8.0,3,1,2,5.0,2,3.0,0,5.0,0,4,1,1.0,4,32126.0
27.0,0,1,10.0,1,2,4,4.0,0,5.0,3,2.0,0,3,0,2.0,1,21780.0
27.0,0,2,24.0,2,1,3,4.0,0,3.0,1,2.0,1,5,0,2.0,1,21419.0
27.0,1,2,27.0,3,1,4,4.0,0,4.0,1,2.0,1,3,0,2.0,1,20826.0
45.0,1,1,15.0,2,2,2,3.0,1,4.0,1,1.0,0,4,1,0.0,2,17348.0
32.0,1,1,9.0,3,1,3,3.0,1,5.0,1,2.0,0,1,1,0.0,2,21725.0
52.0,1,1,14.0,2,1,2,3.0,0,5.0,0,1.0,0,1,1,1.0,1,17950.0
26.0,1,3,33.0,3,0,3,4.0,1,3.0,3,3.0,0,4,0,1.0,2,24858.0
38.0,1,2,13.0,2,2,4,4.0,0,5.0,1,6.0,1,1,0,3.0,1,20751.0
51.0,1,1,24.0,2,1,3,5.0,3,5.0,1,7.0,0,3,1,1.0,3,31947.0
39.0,0,1,36.0,2,1,3,4.0,1,3.0,2,3.0,0,3,1,1.0,2,21084.0
60.0,0,1,21.0,2,1,3,4.0,3,3.0,2,2.0,1,5,1,1.0,3,29190.0
41.0,1,1,7.0,2,1,3,4.0,1,3.0,1,6.0,0,3,0,2.0,2,25191.0
21.0,1,3,11.0,3,2,2,3.0,0,5.0,2,2.0,1,1,1,0.0,1,17380.0
30.0,1,3,14.0,2,2,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0
34.0,1,1,12.0,2,2,3,5.0,3,3.0,1,6.0,0,3,0,1.0,3,25797.0
45.0,1,1,6.0,1,2,3,3.0,3,4.0,1,2.0,0,3,1,1.0,3,22441.0
59.0,1,1,9.0,3,1,2,2.0,0,5.0,0,5.0,1,2,1,1.0,1,17670.0
38.0,0,1,13.0,2,2,2,1.0,0,3.0,1,2.0,0,3,0,0.0,1,17610.0
33.0,0,1,10.0,1,2,2,3.0,1,4.0,1,6.0,0,1,0,0.0,2,18055.0
56.0,0,1,9.0,2,2,4,4.0,3,4.0,1,5.0,0,1,0,2.0,3,29654.0
26.0,1,3,20.0,3,2,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,20774.0
29.0,1,1,9.0,3,2,3,6.0,0,3.0,0,7.0,1,3,1,1.0,1,22142.0
33.0,1,1,14.0,2,2,2,1.0,0,5.0,1,7.0,0,3,1,1.0,1,18143.0
27.0,0,3,7.0,3,2,3,5.0,1,5.0,3,3.0,0,3,1,2.0,2,22972.0
53.0,1,3,6.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0
44.0,1,1,14.0,2,2,3,1.0,0,3.0,0,3.0,1,3,1,2.0,1,17818.0
30.0,0,1,9.0,3,1,3,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17083.0
34.0,1,3,6.0,3,2,3,1.0,1,3.0,1,1.0,0,5,1,2.0,2,24725.0
41.0,1,3,8.0,2,1,3,3.0,4,5.0,0,1.0,0,5,1,1.0,0,31595.0
34.0,0,1,32.0,1,1,3,4.0,0,3.0,1,2.0,0,1,1,0.0,1,17029.0
27.0,1,1,32.0,2,2,3,6.0,0,3.0,2,3.0,0,2,1,2.0,1,20971.0
39.0,1,1,9.0,2,2,3,4.0,1,3.0,1,2.0,0,1,1,2.0,2,25231.0
35.0,0,1,10.0,2,2,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,26434.0
30.0,1,1,15.0,3,2,2,4.0,0,3.0,2,2.0,0,4,0,1.0,1,17206.0
47.0,1,1,9.0,1,2,3,4.0,1,3.0,1,4.0,0,2,1,1.0,2,26057.0
37.0,1,3,7.0,2,0,4,4.0,1,3.0,3,7.0,0,1,1,2.0,2,25493.0
42.0,0,3,17.0,2,2,3,4.0,1,3.0,3,2.0,0,2,0,2.0,2,24908.0
38.0,1,1,17.0,3,2,3,4.0,1,5.0,3,3.0,0,4,0,1.0,2,22891.0
46.0,1,1,8.0,3,2,2,3.0,2,3.0,1,1.0,1,1,1,1.0,4,32126.0
50.0,1,1,27.0,3,1,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25245.0
30.0,0,3,32.0,3,1,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0
30.0,1,1,14.0,3,1,4,5.0,0,3.0,1,7.0,0,5,1,1.0,1,21210.0
51.0,0,1,14.0,2,2,2,5.0,3,3.0,3,3.0,0,1,1,0.0,3,25650.0
37.0,0,1,15.0,2,1,4,3.0,3,5.0,0,2.0,0,3,0,1.0,3,30391.0
50.0,1,1,13.0,2,1,3,5.0,4,3.0,1,4.0,1,5,1,1.0,0,32126.0
37.0,1,1,13.0,2,1,3,2.0,0,3.0,1,5.0,0,1,0,1.0,1,21716.0
22.0,1,1,10.0,3,2,4,5.0,0,3.0,3,3.0,0,5,1,3.0,1,21908.0
40.0,0,1,15.0,3,0,2,3.0,3,3.0,3,1.0,0,4,0,0.0,3,28499.0
38.0,1,3,8.0,3,1,3,5.0,1,3.0,1,3.0,1,3,0,0.0,2,20405.0
36.0,1,1,16.0,2,2,4,5.0,1,4.0,3,2.0,0,1,0,2.0,2,25218.0
38.0,0,3,16.0,1,1,2,3.0,1,3.0,2,2.0,1,3,1,0.0,2,20666.0
27.0,1,1,9.0,3,2,2,4.0,0,3.0,2,1.0,0,2,0,0.0,1,17045.0
46.0,1,3,11.0,2,1,2,4.0,1,5.0,1,6.0,1,4,0,1.0,2,23684.0
35.0,1,3,16.0,3,2,2,4.0,3,5.0,1,1.0,0,5,1,1.0,3,25306.0
46.0,1,1,35.0,1,2,4,4.0,0,3.0,1,6.0,0,3,1,3.0,1,20810.0
56.0,0,3,12.0,2,1,2,1.0,4,5.0,1,1.0,0,3,1,0.0,0,28212.0
35.0,0,1,7.0,3,2,4,5.0,1,5.0,3,2.0,0,2,1,3.0,2,24021.0
36.0,1,1,12.0,1,2,4,4.0,3,4.0,3,2.0,0,3,0,1.0,3,26773.0
29.0,0,1,8.0,3,2,2,4.0,0,5.0,2,1.0,0,4,1,1.0,1,18339.0
46.0,1,3,6.0,3,1,3,3.0,3,5.0,1,2.0,0,2,1,1.0,3,25453.0
36.0,0,3,17.0,1,1,3,3.0,3,3.0,1,1.0,0,5,0,2.0,3,24738.0
39.0,1,3,8.0,2,2,2,1.0,3,3.0,3,1.0,0,2,1,1.0,3,22880.0
51.0,1,3,15.0,3,2,3,4.0,0,4.0,0,2.0,0,2,1,1.0,1,22553.0
34.0,1,1,7.0,2,2,4,4.0,0,3.0,3,3.0,1,3,1,1.0,1,21364.0
20.0,1,1,32.0,2,1,3,2.0,0,3.0,3,3.0,1,5,1,1.0,1,21672.0
32.0,1,1,19.0,3,1,3,4.0,1,3.0,0,2.0,1,4,0,2.0,2,24533.0
41.0,1,1,21.0,3,2,3,5.0,2,3.0,2,3.0,0,3,1,2.0,4,32126.0
44.0,0,1,6.0,3,2,2,3.0,0,4.0,1,2.0,1,3,1,1.0,1,17342.0
28.0,0,1,16.0,3,2,3,4.0,0,4.0,1,7.0,0,3,0,1.0,1,20702.0
29.0,1,1,29.0,2,2,2,3.0,0,3.0,2,1.0,0,3,1,0.0,1,17201.0
59.0,1,1,9.0,2,2,3,4.0,0,3.0,1,4.0,0,3,0,0.0,1,17177.0
29.0,1,1,6.0,1,2,2,3.0,0,3.0,2,1.0,0,1,0,0.0,1,17058.0
43.0,1,3,22.0,3,1,3,3.0,4,3.0,0,6.0,1,3,0,1.0,0,31064.0
27.0,1,1,24.0,3,2,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0
24.0,1,1,23.0,2,1,3,3.0,0,4.0,0,2.0,0,2,0,1.0,1,17210.0
38.0,0,1,17.0,3,2,4,4.0,3,3.0,1,7.0,0,3,1,3.0,3,28726.0
41.0,0,1,18.0,1,1,4,4.0,1,3.0,1,3.0,0,3,1,2.0,2,25001.0
31.0,1,1,27.0,2,2,3,4.0,1,5.0,1,2.0,0,4,0,2.0,2,28635.0
51.0,0,1,27.0,3,2,3,4.0,4,3.0,1,4.0,1,4,1,2.0,0,29923.0
